Roll,Student ID,Student Name,Class,Section,Bangla 1st Paper (100),Bangla 2nd Paper (100),English 1st Paper (100),English 2nd Paper (100),Mathematics (100),Science (100),Bangladesh & Global Studies (100),ICT (50),Religion & Moral Education (100)
1,DHS102026001,Arafat Rahman,10,A,71,84,81,73,74,83,67,32,77
2,DHS102026002,Sakib Islam,10,B,89,95,89,89,79,71,61,37,69
3,DHS102026003,Rakib Sarker,10,C,67,62,55,55,58,85,70,36,74
4,DHS102026004,Tanvir Mahmud,10,D,81,67,75,87,75,89,74,39,77
5,DHS102026005,Nayeem Miah,10,A,77,65,74,79,76,76,86,31,65
6,DHS102026006,Fahim Rahman,10,B,64,84,78,84,85,72,86,44,78
7,DHS102026007,Shuvo Islam,10,C,71,42,68,37,69,64,41,28,53
8,DHS102026008,Rafi Sarker,10,D,66,98,74,76,72,73,71,39,88
9,DHS102026009,Hasan Mahmud,10,A,70,57,66,53,53,69,68,30,65
10,DHS102026010,Imran Miah,10,B,68,80,77,58,86,53,78,38,77
11,DHS102026011,Mehedi Rahman,10,C,57,70,54,56,74,62,77,34,79
12,DHS102026012,Arman Islam,10,D,59,52,65,74,51,59,57,27,60
13,DHS102026013,Nahid Sarker,10,A,87,54,53,81,57,64,39,21,57
14,DHS102026014,Siam Mahmud,10,B,86,89,73,75,86,98,97,45,84
15,DHS102026015,Adnan Miah,10,C,79,77,92,76,83,82,88,33,77
16,DHS102026016,Jahid Rahman,10,D,80,84,98,85,80,80,97,35,98
17,DHS102026017,Sabbir Islam,10,A,57,67,66,62,72,62,73,32,65
18,DHS102026018,Tanim Sarker,10,B,47,68,56,64,62,67,61,25,75
19,DHS102026019,Mahir Mahmud,10,C,67,56,58,67,77,64,63,36,53
20,DHS102026020,Rahat Miah,10,D,72,83,75,74,63,87,73,36,51
21,DHS102026021,Sumaiya Rahman,10,A,74,82,66,70,78,72,69,33,56
22,DHS102026022,Nusrat Islam,10,B,98,83,72,87,90,75,76,38,88
23,DHS102026023,Jannat Sarker,10,C,58,61,65,60,59,66,55,30,65
24,DHS102026024,Mim Mahmud,10,D,92,79,75,74,87,83,84,43,90
25,DHS102026025,Tanjila Miah,10,A,64,60,57,66,55,37,64,31,45
