Rank,Student ID,Student Name,Total,Average,Grade
1,DHS102026027,Mou Islam,780,86.7,A+
2,DHS102026038,Rafi Sarker,746,82.9,A+
3,DHS102026031,Arafat Rahman,745,82.8,A+
4,DHS102026028,Tasnim Sarker,739,82.1,A+
5,DHS102026016,Jahid Rahman,737,81.9,A+
6,DHS102026014,Siam Mahmud,733,81.4,A+
7,DHS102026100,Imran Miah,729,81.0,A+
8,DHS102026033,Rakib Sarker,728,80.9,A+
9,DHS102026076,Jahid Rahman,720,80.0,A+
10,DHS102026065,Nayeem Miah,720,80.0,A+
11,DHS102026063,Rakib Sarker,715,79.4,A
12,DHS102026071,Mehedi Rahman,712,79.1,A
13,DHS102026067,Shuvo Islam,711,79.0,A
14,DHS102026049,Mahir Mahmud,708,78.7,A
15,DHS102026024,Mim Mahmud,707,78.6,A
16,DHS102026022,Nusrat Islam,707,78.6,A
17,DHS102026055,Tanjila Miah,703,78.1,A
18,DHS102026095,Nayeem Miah,698,77.6,A
19,DHS102026058,Tasnim Sarker,698,77.6,A
20,DHS102026034,Tanvir Mahmud,695,77.2,A
21,DHS102026084,Mim Mahmud,693,77.0,A
22,DHS102026015,Adnan Miah,687,76.3,A
23,DHS102026053,Jannat Sarker,685,76.1,A
24,DHS102026026,Sadia Rahman,683,75.9,A
25,DHS102026035,Nayeem Miah,682,75.8,A
26,DHS102026002,Sakib Islam,679,75.4,A
27,DHS102026006,Fahim Rahman,675,75.0,A
28,DHS102026051,Sumaiya Rahman,667,74.1,A
29,DHS102026040,Imran Miah,666,74.0,A
30,DHS102026004,Tanvir Mahmud,664,73.8,A
31,DHS102026087,Mou Islam,661,73.4,A
32,DHS102026008,Rafi Sarker,657,73.0,A
33,DHS102026078,Tanim Sarker,645,71.7,A
34,DHS102026073,Nahid Sarker,644,71.6,A
35,DHS102026001,Arafat Rahman,642,71.3,A
36,DHS102026036,Fahim Rahman,640,71.1,A
37,DHS102026052,Nusrat Islam,634,70.4,A
38,DHS102026005,Nayeem Miah,629,69.9,B
39,DHS102026056,Sadia Rahman,629,69.9,B
40,DHS102026081,Sumaiya Rahman,628,69.8,B
41,DHS102026094,Tanvir Mahmud,627,69.7,B
42,DHS102026045,Adnan Miah,624,69.3,B
43,DHS102026080,Rahat Miah,622,69.1,B
44,DHS102026010,Imran Miah,615,68.3,B
45,DHS102026020,Rahat Miah,614,68.2,B
46,DHS102026039,Hasan Mahmud,613,68.1,B
47,DHS102026037,Shuvo Islam,612,68.0,B
48,DHS102026044,Siam Mahmud,604,67.1,B
49,DHS102026092,Sakib Islam,602,66.9,B
50,DHS102026068,Rafi Sarker,601,66.8,B
51,DHS102026021,Sumaiya Rahman,600,66.7,B
52,DHS102026083,Jannat Sarker,594,66.0,B
53,DHS102026085,Tanjila Miah,591,65.7,B
54,DHS102026072,Arman Islam,586,65.1,B
55,DHS102026082,Nusrat Islam,585,65.0,B
56,DHS102026070,Imran Miah,582,64.7,B
57,DHS102026041,Mehedi Rahman,577,64.1,B
58,DHS102026042,Arman Islam,575,63.9,B
59,DHS102026097,Shuvo Islam,574,63.8,B
60,DHS102026066,Fahim Rahman,571,63.4,B
61,DHS102026029,Fariha Mahmud,569,63.2,B
62,DHS102026079,Mahir Mahmud,565,62.8,B
63,DHS102026088,Tasnim Sarker,563,62.6,B
64,DHS102026011,Mehedi Rahman,563,62.6,B
65,DHS102026003,Rakib Sarker,562,62.4,B
66,DHS102026086,Sadia Rahman,562,62.4,B
67,DHS102026048,Tanim Sarker,557,61.9,B
68,DHS102026046,Jahid Rahman,556,61.8,B
69,DHS102026017,Sabbir Islam,556,61.8,B
70,DHS102026099,Hasan Mahmud,552,61.3,B
71,DHS102026064,Tanvir Mahmud,549,61.0,B
72,DHS102026030,Samia Miah,545,60.6,B
73,DHS102026019,Mahir Mahmud,541,60.1,B
74,DHS102026096,Fahim Rahman,537,59.7,C
75,DHS102026009,Hasan Mahmud,531,59.0,C
76,DHS102026018,Tanim Sarker,525,58.3,C
77,DHS102026061,Arafat Rahman,521,57.9,C
78,DHS102026023,Jannat Sarker,519,57.7,C
79,DHS102026090,Samia Miah,514,57.1,C
80,DHS102026013,Nahid Sarker,513,57.0,C
81,DHS102026057,Mou Islam,513,57.0,C
82,DHS102026060,Samia Miah,512,56.9,C
83,DHS102026075,Adnan Miah,508,56.4,C
84,DHS102026012,Arman Islam,504,56.0,C
85,DHS102026098,Rafi Sarker,503,55.9,C
86,DHS102026093,Rakib Sarker,502,55.8,C
87,DHS102026054,Mim Mahmud,502,55.8,C
88,DHS102026069,Hasan Mahmud,497,55.2,C
89,DHS102026062,Sakib Islam,492,54.7,C
90,DHS102026043,Nahid Sarker,492,54.7,C
91,DHS102026091,Arafat Rahman,491,54.6,C
92,DHS102026089,Fariha Mahmud,489,54.3,C
93,DHS102026050,Rahat Miah,484,53.8,C
94,DHS102026077,Sabbir Islam,482,53.6,C
95,DHS102026025,Tanjila Miah,479,53.2,C
96,DHS102026047,Sabbir Islam,475,52.8,C
97,DHS102026007,Shuvo Islam,473,52.6,C
98,DHS102026074,Siam Mahmud,467,51.9,C
99,DHS102026059,Fariha Mahmud,455,50.6,C
100,DHS102026032,Sakib Islam,450,50.0,C
